Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|Wisconsin

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACGI,,Acer ginnala Maxim.,Amur maple
ACPL,,Acer platanoides L.,Norway maple
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
BETH,,Berberis thunbergii DC.,Japanese barberry
BEPE3,,Betula pendula Roth,European white birch
CAAR18,,Caragana arborescens Lam.,Siberian peashrub
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
FRAL4,,Frangula alnus Mill.,glossy buckthorn
LIVU,,Ligustrum vulgare L.,European privet
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MALUS,,Malus Mill.,apple
MATO6,,Malus toringo (Siebold) Siebold ex de Vriese,toringo crab
MATO6,MASI80,Malus sieboldii (Regel) Rehder,
MOAL,,Morus alba L.,white mulberry
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,,Picea abies (L.) Karst.,Norway spruce
PIMU80,,Pinus mugo Turra,mugo pine
PISY,,Pinus sylvestris L.,Scots pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PYCO,,Pyrus communis L.,common pear
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SOAU,,Sorbus aucuparia L.,European mountain ash
SYOR,,Symphoricarpos orbiculatus Moench,coralberry
SYVU,,Syringa vulgaris L.,common lilac
TIAM,,Tilia americana L.,American basswood
ULPU,,Ulmus pumila L.,Siberian elm
VILA,,Viburnum lantana L.,wayfaringtree
VIOP,,Viburnum opulus L.,European cranberrybush
