Search type: Characteristics
Tree|Shrub|Introduced - L48|Introduced - CAN|Introduced - AK|New Hampshire

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ACGI,,Acer ginnala Maxim.,Amur maple
ACPL,,Acer platanoides L.,Norway maple
BETH,,Berberis thunbergii DC.,Japanese barberry
BEPE3,,Betula pendula Roth,European white birch
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
FRAL4,,Frangula alnus Mill.,glossy buckthorn
LADE2,,Larix decidua Mill.,European larch
LIVU,,Ligustrum vulgare L.,European privet
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
MALUS,,Malus Mill.,apple
MOAL,,Morus alba L.,white mulberry
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PIAB,,Picea abies (L.) Karst.,Norway spruce
PIMU80,,Pinus mugo Turra,mugo pine
PISY,,Pinus sylvestris L.,Scots pine
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
PRVI,,Prunus virginiana L.,chokecherry
PYCO,,Pyrus communis L.,common pear
ROPS,,Robinia pseudoacacia L.,black locust
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SOAU,,Sorbus aucuparia L.,European mountain ash
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SYVU,,Syringa vulgaris L.,common lilac
TIAM,,Tilia americana L.,American basswood
ULPU,,Ulmus pumila L.,Siberian elm
VIOP,,Viburnum opulus L.,European cranberrybush
