Search type: Characteristics
Shrub|Tree|Native - L48|Indiana

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ACNE2,,Acer negundo L.,boxelder
ACNI5,,Acer nigrum Michx. f.,black maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
AEFL,,Aesculus flava Aiton,yellow buckeye
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AEPA,,Aesculus pavia L.,red buckeye
ALIN2,,Alnus incana (L.) Moench,gray alder
ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder
ALSE2,,Alnus serrulata (Aiton) Willd.,hazel alder
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry
AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry
AMCA6,,Amorpha canescens Pursh,leadplant
AMFR,,Amorpha fruticosa L.,false indigo bush
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ASTR,,Asimina triloba (L.) Dunal,pawpaw
BEAL2,,Betula alleghaniensis Britton,yellow birch
BENI,,Betula nigra L.,river birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPO,,Betula populifolia Marshall,gray birch
BEPU4,,Betula pumila L.,bog birch
CACA18,,Carpinus caroliniana Walter,American hornbeam
CAAQ2,,Carya aquatica (Michx. f.) Nutt.,water hickory
CACO15,,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory
CAGL8,,Carya glabra (Mill.) Sweet,pignut hickory
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CADE12,,Castanea dentata (Marshall) Borkh.,American chestnut
CAPU9,,Castanea pumila (L.) Mill.,chinquapin
CABI8,,Catalpa bignonioides Walter,southern catalpa
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CEAM,,Ceanothus americanus L.,New Jersey tea
CELA,,Celtis laevigata Willd.,sugarberry
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CECA4,,Cercis canadensis L.,eastern redbud
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
COPE80,,Comptonia peregrina (L.) J.M. Coult.,sweet fern
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COAM2,,Cornus amomum Mill.,silky dogwood
COCA13,,Cornus canadensis L.,bunchberry dogwood
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
COFL2,,Cornus florida L.,flowering dogwood
COFO,,Cornus foemina Mill.,stiff dogwood
CORA6,,Cornus racemosa Lam.,gray dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COAM3,,Corylus americana Walter,American hazelnut
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CRVI2,,Crataegus viridis L.,green hawthorn
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
DIVI5,,Diospyros virginiana L.,common persimmon
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
FAGR,,Fagus grandifolia Ehrh.,American beech
FOAC,,Forestiera acuminata (Michx.) Poir.,eastern swampprivet
FRCA13,,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn
FRAM2,,Fraxinus americana L.,white ash
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRPR,,Fraxinus profunda (Bush) Bush,pumpkin ash
GAPR2,,Gaultheria procumbens L.,eastern teaberry
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GLAQ,,Gleditsia aquatica Marshall,water locust
GLTR,,Gleditsia triacanthos L.,honeylocust
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
HAVI4,,Hamamelis virginiana L.,American witchhazel
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
ILDE,,Ilex decidua Walter,possumhaw
ILOP,,Ilex opaca Aiton,American holly
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
ITVI,,Itea virginica L.,Virginia sweetspire
JUCI,,Juglans cinerea L.,butternut
JUNI,,Juglans nigra L.,black walnut
JUCO6,,Juniperus communis L.,common juniper
JUVI,,Juniperus virginiana L.,eastern redcedar
KALA,,Kalmia latifolia L.,mountain laurel
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
LIST2,,Liquidambar styraciflua L.,sweetgum
LITU,,Liriodendron tulipifera L.,tuliptree
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MAAC,,Magnolia acuminata (L.) L.,cucumber tree
MATR,,Magnolia tripetala (L.) L.,umbrella-tree
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
MALUS,,Malus Mill.,apple
MAIO,,Malus ioensis (Alph. Wood) Britton,prairie crab apple
MORU2,,Morus rubra L.,red mulberry
NEAR5,,Nekemias arborea (L.) J. Wen & Boggan,peppervine
NEAR5,AMAR5,Ampelopsis arborea (L.) Koehne,
NYSY,,Nyssa sylvatica Marshall,blackgum
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
OXAR,,Oxydendrum arboreum (L.) DC.,sourwood
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PIBA2,,Pinus banksiana Lamb.,jack pine
PIRE,,Pinus resinosa Aiton,red pine
PIRI,,Pinus rigida Mill.,pitch pine
PIST,,Pinus strobus L.,eastern white pine
PIVI2,,Pinus virginiana Mill.,Virginia pine
PLOC,,Platanus occidentalis L.,American sycamore
POBA2,,Populus balsamifera L.,balsam poplar
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POHE4,,Populus heterophylla L.,swamp cottonwood
POTR5,,Populus tremuloides Michx.,quaking aspen
PRAM,,Prunus americana Marshall,American plum
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PRNI,,Prunus nigra Aiton,Canadian plum
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU3,,Prunus pumila L.,sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRVI,,Prunus virginiana L.,chokecherry
PRVID,,Prunus virginiana L. var. demissa (Nutt.) Torr.,western chokecherry
PTTR,,Ptelea trifoliata L.,common hoptree
QUAL,,Quercus alba L.,white oak
QUBI,,Quercus bicolor Willd.,swamp white oak
QUCO2,,Quercus coccinea Münchh.,scarlet oak
QUFA,,Quercus falcata Michx.,southern red oak
QUIM,,Quercus imbricaria Michx.,shingle oak
QULY,,Quercus lyrata Walter,overcup oak
QUMA2,,Quercus macrocarpa Michx.,bur oak
QUMA3,,Quercus marilandica Münchh.,blackjack oak
QUMI,,Quercus michauxii Nutt.,swamp chestnut oak
QUMO4,,Quercus montana Willd.,chestnut oak
QUMO4,QUPR2,"Quercus prinus L. p.p., nom. utique rej.",
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak
QUPA5,,Quercus pagoda Raf.,cherrybark oak
QUPA2,,Quercus palustris Münchh.,pin oak
QURU,,Quercus rubra L.,northern red oak
QUSH,,Quercus shumardii Buckley,Shumard's oak
QUST,,Quercus stellata Wangenh.,post oak
QUVE,,Quercus velutina Lam.,black oak
RHAL,,Rhamnus alnifolia L'Hér.,alderleaf buckthorn
RHCO,,Rhus copallinum L.,winged sumac
RHGL,,Rhus glabra L.,smooth sumac
RHTY,,Rhus typhina L.,staghorn sumac
RHTY,RHHI2,"Rhus hirta (L.) Sudw., nom. utique rej.",
RIAM2,,Ribes americanum Mill.,American black currant
RIAU,,Ribes aureum Pursh,golden currant
RIAUV,,Ribes aureum Pursh var. villosum DC.,golden currant
ROHIF8,,Robinia hispida L. var. fertilis (Ashe) R.T. Clausen,bristly locust
ROPS,,Robinia pseudoacacia L.,black locust
SAAM2,,Salix amygdaloides Andersson,peachleaf willow
SABE2,,Salix bebbiana Sarg.,Bebb willow
SACA4,,Salix candida Flueggé ex Willd.,sageleaf willow
SACA5,,Salix caroliniana Michx.,coastal plain willow
SADI,,Salix discolor Muhl.,pussy willow
SAER,,Salix eriocephala Michx.,Missouri River willow
SAHU2,,Salix humilis Marshall,prairie willow
SAIN3,,Salix interior Rowlee,sandbar willow
SALU,,Salix lucida Muhl.,shining willow
SANI,,Salix nigra Marshall,black willow
